Year,OBS_STATUS,COMMENT_OBS,SDG Series,Unit of measure,Observation status,Observation-level footnotes,Value
2005,B,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Lakes and rivers permanent water area change (%) [6.6.1],Percent,Time series break,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),24.38897
2006,B,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Lakes and rivers permanent water area change (%) [6.6.1],Percent,Time series break,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),23.50865
2007,B,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Lakes and rivers permanent water area change (%) [6.6.1],Percent,Time series break,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),21.80596
2008,B,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Lakes and rivers permanent water area change (%) [6.6.1],Percent,Time series break,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),18.35646
2009,B,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Lakes and rivers permanent water area change (%) [6.6.1],Percent,Time series break,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),15.82532
2010,B,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Lakes and rivers permanent water area change (%) [6.6.1],Percent,Time series break,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),14.72137
2011,B,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Lakes and rivers permanent water area change (%) [6.6.1],Percent,Time series break,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),14.96125
2012,B,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Lakes and rivers permanent water area change (%) [6.6.1],Percent,Time series break,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),21.34958
2013,B,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Lakes and rivers permanent water area change (%) [6.6.1],Percent,Time series break,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),22.60358
2014,B,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Lakes and rivers permanent water area change (%) [6.6.1],Percent,Time series break,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),19.45209
2015,B,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Lakes and rivers permanent water area change (%) [6.6.1],Percent,Time series break,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),9.54124
2016,B,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Lakes and rivers permanent water area change (%) [6.6.1],Percent,Time series break,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),-0.06127
2017,B,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Lakes and rivers permanent water area change (%) [6.6.1],Percent,Time series break,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),-6.59123
2018,B,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Lakes and rivers permanent water area change (%) [6.6.1],Percent,Time series break,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),-9.07473
2019,B,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Lakes and rivers permanent water area change (%) [6.6.1],Percent,Time series break,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),-4.60399
2020,B,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Lakes and rivers permanent water area change (%) [6.6.1],Percent,Time series break,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),5.29709
2021,B,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Lakes and rivers permanent water area change (%) [6.6.1],Percent,Time series break,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),12.19968
2022,B,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Lakes and rivers permanent water area change (%) [6.6.1],Percent,Time series break,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),15.7262
2000,A,,Lakes and rivers permanent water area (square kilometres) [6.6.1],Square kilometers,Normal value,,0.17138
2001,A,,Lakes and rivers permanent water area (square kilometres) [6.6.1],Square kilometers,Normal value,,0.50255
2002,A,,Lakes and rivers permanent water area (square kilometres) [6.6.1],Square kilometers,Normal value,,0.75968
2003,A,,Lakes and rivers permanent water area (square kilometres) [6.6.1],Square kilometers,Normal value,,1.08435
2004,A,,Lakes and rivers permanent water area (square kilometres) [6.6.1],Square kilometers,Normal value,,1.40151
2005,A,,Lakes and rivers permanent water area (square kilometres) [6.6.1],Square kilometers,Normal value,,1.55358
2006,A,,Lakes and rivers permanent water area (square kilometres) [6.6.1],Square kilometers,Normal value,,1.54258
2007,A,,Lakes and rivers permanent water area (square kilometres) [6.6.1],Square kilometers,Normal value,,1.52131
2008,A,,Lakes and rivers permanent water area (square kilometres) [6.6.1],Square kilometers,Normal value,,1.47823
2009,A,,Lakes and rivers permanent water area (square kilometres) [6.6.1],Square kilometers,Normal value,,1.44662
2010,A,,Lakes and rivers permanent water area (square kilometres) [6.6.1],Square kilometers,Normal value,,1.43283
2011,A,,Lakes and rivers permanent water area (square kilometres) [6.6.1],Square kilometers,Normal value,,1.43583
2012,A,,Lakes and rivers permanent water area (square kilometres) [6.6.1],Square kilometers,Normal value,,1.51561
2013,A,,Lakes and rivers permanent water area (square kilometres) [6.6.1],Square kilometers,Normal value,,1.53128
2014,A,,Lakes and rivers permanent water area (square kilometres) [6.6.1],Square kilometers,Normal value,,1.49192
2015,A,,Lakes and rivers permanent water area (square kilometres) [6.6.1],Square kilometers,Normal value,,1.36813
2016,A,,Lakes and rivers permanent water area (square kilometres) [6.6.1],Square kilometers,Normal value,,1.2482
2017,A,,Lakes and rivers permanent water area (square kilometres) [6.6.1],Square kilometers,Normal value,,1.16664
2018,A,,Lakes and rivers permanent water area (square kilometres) [6.6.1],Square kilometers,Normal value,,1.13563
2019,A,,Lakes and rivers permanent water area (square kilometres) [6.6.1],Square kilometers,Normal value,,1.19146
2020,A,,Lakes and rivers permanent water area (square kilometres) [6.6.1],Square kilometers,Normal value,,1.31512
2021,A,,Lakes and rivers permanent water area (square kilometres) [6.6.1],Square kilometers,Normal value,,1.40134
2022,A,,Lakes and rivers permanent water area (square kilometres) [6.6.1],Square kilometers,Normal value,,1.44538
2000,A,,Lakes and rivers permanent water area (% of total land area) [6.6.1],Percent,Normal value,,0.00049
2001,A,,Lakes and rivers permanent water area (% of total land area) [6.6.1],Percent,Normal value,,0.00144
2002,A,,Lakes and rivers permanent water area (% of total land area) [6.6.1],Percent,Normal value,,0.00217
2003,A,,Lakes and rivers permanent water area (% of total land area) [6.6.1],Percent,Normal value,,0.0031
2004,A,,Lakes and rivers permanent water area (% of total land area) [6.6.1],Percent,Normal value,,0.004
2005,A,,Lakes and rivers permanent water area (% of total land area) [6.6.1],Percent,Normal value,,0.00444
2006,A,,Lakes and rivers permanent water area (% of total land area) [6.6.1],Percent,Normal value,,0.00441
2007,A,,Lakes and rivers permanent water area (% of total land area) [6.6.1],Percent,Normal value,,0.00435
2008,A,,Lakes and rivers permanent water area (% of total land area) [6.6.1],Percent,Normal value,,0.00422
2009,A,,Lakes and rivers permanent water area (% of total land area) [6.6.1],Percent,Normal value,,0.00413
2010,A,,Lakes and rivers permanent water area (% of total land area) [6.6.1],Percent,Normal value,,0.00409
2011,A,,Lakes and rivers permanent water area (% of total land area) [6.6.1],Percent,Normal value,,0.0041
2012,A,,Lakes and rivers permanent water area (% of total land area) [6.6.1],Percent,Normal value,,0.00433
2013,A,,Lakes and rivers permanent water area (% of total land area) [6.6.1],Percent,Normal value,,0.00438
2014,A,,Lakes and rivers permanent water area (% of total land area) [6.6.1],Percent,Normal value,,0.00426
2015,A,,Lakes and rivers permanent water area (% of total land area) [6.6.1],Percent,Normal value,,0.00391
2016,A,,Lakes and rivers permanent water area (% of total land area) [6.6.1],Percent,Normal value,,0.00357
2017,A,,Lakes and rivers permanent water area (% of total land area) [6.6.1],Percent,Normal value,,0.00333
2018,A,,Lakes and rivers permanent water area (% of total land area) [6.6.1],Percent,Normal value,,0.00324
