Year,SDG Series,Type of product,Value
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,2.9791
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,2.10032
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,1.83237
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,1.76634
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,1.56127
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,1.61935
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,1.54597
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,1.40946
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,1.4139
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,1.54007
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,1.56405
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,1.5162
2020,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,1.54156
2021,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,1.55272
2022,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,1.54283
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,8.3797
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,5.95997
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,6.88705
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,6.87777
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,6.17034
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,6.15026
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,6.15945
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,6.0807
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,6.14352
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,6.10445
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,6.10656
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,6.38509
2020,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,6.36666
2021,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,6.36251
2022,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,6.39357
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,14.03046
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,12.7746
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,12.68164
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,12.67397
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,12.67838
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,12.67582
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,12.67271
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,12.607
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,12.60541
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,12.49591
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,12.63832
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,12.51725
2020,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,12.49842
2021,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,12.51712
2022,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,12.33708
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,3.04856
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,2.08779
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,1.82121
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,1.73941
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,1.56641
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,1.64415
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,1.54993
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,1.35709
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,1.36393
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,1.54726
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,1.56871
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,1.48474
2020,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,1.51185
2021,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,1.52118
2022,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,1.51232
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Oil,0.29983
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Oil,0.16938
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Oil,0.0
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Oil,0.0
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Oil,0.0
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Oil,0.0
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Oil,0.0
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Oil,0.0
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Oil,0.0
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Oil,0.0
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Oil,0.0
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Oil,0.0
2020,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Oil,0.0
