Year,NATURE,SOURCE_DETAIL,Age,Nature of data points,Source details,Value
2000,CA,Registration National Statistics & WPP2022,10 to 14 years old,Country Adjusted,Registration National Statistics & WPP2022,0.61
2001,CA,Registration National Statistics & WPP2022,10 to 14 years old,Country Adjusted,Registration National Statistics & WPP2022,1.45
2002,CA,Registration National Statistics & WPP2022,10 to 14 years old,Country Adjusted,Registration National Statistics & WPP2022,0.42
2003,CA,Registration National Statistics & WPP2022,10 to 14 years old,Country Adjusted,Registration National Statistics & WPP2022,0.85
2004,CA,Registration National Statistics & WPP2022,10 to 14 years old,Country Adjusted,Registration National Statistics & WPP2022,0.65
2005,CA,Registration National Statistics & WPP2022,10 to 14 years old,Country Adjusted,Registration National Statistics & WPP2022,1.12
2006,CA,Registration National Statistics & WPP2022,10 to 14 years old,Country Adjusted,Registration National Statistics & WPP2022,0.46
2007,CA,Registration National Statistics & WPP2022,10 to 14 years old,Country Adjusted,Registration National Statistics & WPP2022,0.72
2008,CA,Registration National Statistics & WPP2022,10 to 14 years old,Country Adjusted,Registration National Statistics & WPP2022,1.77
2009,CA,Registration National Statistics & WPP2022,10 to 14 years old,Country Adjusted,Registration National Statistics & WPP2022,1.06
2010,CA,Registration National Statistics & WPP2022,10 to 14 years old,Country Adjusted,Registration National Statistics & WPP2022,0.28
2011,CA,Registration National Statistics & WPP2022,10 to 14 years old,Country Adjusted,Registration National Statistics & WPP2022,0.3
2012,CA,Registration National Statistics & WPP2022,10 to 14 years old,Country Adjusted,Registration National Statistics & WPP2022,1.26
2000,C,Registration National Statistics,15 to 19 years old,Country Data,Registration National Statistics,58.6
2001,C,Registration National Statistics,15 to 19 years old,Country Data,Registration National Statistics,58.9
2002,C,Registration National Statistics,15 to 19 years old,Country Data,Registration National Statistics,55.4
2003,C,Registration National Statistics,15 to 19 years old,Country Data,Registration National Statistics,52.4
2004,C,Registration National Statistics,15 to 19 years old,Country Data,Registration National Statistics,56.3
2005,C,Registration National Statistics,15 to 19 years old,Country Data,Registration National Statistics,54.9
2006,C,Registration National Statistics,15 to 19 years old,Country Data,Registration National Statistics,54.9
2007,C,Registration National Statistics,15 to 19 years old,Country Data,Registration National Statistics,56.6
2008,C,Registration National Statistics,15 to 19 years old,Country Data,Registration National Statistics,56.6
2009,C,Registration National Statistics,15 to 19 years old,Country Data,Registration National Statistics,57.4
2010,C,Registration National Statistics,15 to 19 years old,Country Data,Registration National Statistics,50.5
2011,C,Registration National Statistics,15 to 19 years old,Country Data,Registration National Statistics,59.3
2012,C,Registration National Statistics,15 to 19 years old,Country Data,Registration National Statistics,42.8
2015,C,Registration National Statistics,15 to 19 years old,Country Data,Registration National Statistics,39.1
2016,C,Registration National Statistics,15 to 19 years old,Country Data,Registration National Statistics,25.4
