Year,SDG Series,Sex,Unit of measure,Value
2000,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,"Per 100,000 population",21.26
2001,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,"Per 100,000 population",25.92
2002,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,"Per 100,000 population",38.06
2003,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,"Per 100,000 population",28.89
2004,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,"Per 100,000 population",34.66
2005,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,"Per 100,000 population",34.75
2006,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,"Per 100,000 population",40.37
2007,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,"Per 100,000 population",40.37
2008,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,"Per 100,000 population",43.2
2009,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,"Per 100,000 population",46.96
2010,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,"Per 100,000 population",52.76
2011,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,"Per 100,000 population",42.66
2012,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,"Per 100,000 population",49.63
2000,"Number of victims of intentional homicide per 100,000 population [16.1.1]",Female,"Per 100,000 population",5.31
2001,"Number of victims of intentional homicide per 100,000 population [16.1.1]",Female,"Per 100,000 population",3.54
2002,"Number of victims of intentional homicide per 100,000 population [16.1.1]",Female,"Per 100,000 population",8.88
2003,"Number of victims of intentional homicide per 100,000 population [16.1.1]",Female,"Per 100,000 population",5.36
2004,"Number of victims of intentional homicide per 100,000 population [16.1.1]",Female,"Per 100,000 population",1.8
2005,"Number of victims of intentional homicide per 100,000 population [16.1.1]",Female,"Per 100,000 population",5.4
2006,"Number of victims of intentional homicide per 100,000 population [16.1.1]",Female,"Per 100,000 population",7.2
2007,"Number of victims of intentional homicide per 100,000 population [16.1.1]",Female,"Per 100,000 population",5.4
2008,"Number of victims of intentional homicide per 100,000 population [16.1.1]",Female,"Per 100,000 population",3.6
2009,"Number of victims of intentional homicide per 100,000 population [16.1.1]",Female,"Per 100,000 population",3.6
2010,"Number of victims of intentional homicide per 100,000 population [16.1.1]",Female,"Per 100,000 population",12.63
2011,"Number of victims of intentional homicide per 100,000 population [16.1.1]",Female,"Per 100,000 population",5.45
2012,"Number of victims of intentional homicide per 100,000 population [16.1.1]",Female,"Per 100,000 population",3.65
2000,"Number of victims of intentional homicide per 100,000 population [16.1.1]",Male,"Per 100,000 population",38.71
2001,"Number of victims of intentional homicide per 100,000 population [16.1.1]",Male,"Per 100,000 population",50.44
2002,"Number of victims of intentional homicide per 100,000 population [16.1.1]",Male,"Per 100,000 population",69.98
2003,"Number of victims of intentional homicide per 100,000 population [16.1.1]",Male,"Per 100,000 population",54.61
