Year,SDG Series,Value
2016,Data Sources performance index (Statistical Performance Indicators Pillar 4) [17.18.1],NaN
2017,Data Sources performance index (Statistical Performance Indicators Pillar 4) [17.18.1],NaN
2018,Data Sources performance index (Statistical Performance Indicators Pillar 4) [17.18.1],NaN
2019,Data Sources performance index (Statistical Performance Indicators Pillar 4) [17.18.1],NaN
2020,Data Sources performance index (Statistical Performance Indicators Pillar 4) [17.18.1],NaN
2021,Data Sources performance index (Statistical Performance Indicators Pillar 4) [17.18.1],NaN
2022,Data Sources performance index (Statistical Performance Indicators Pillar 4) [17.18.1],NaN
2016,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5) [17.18.1],NaN
2017,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5) [17.18.1],NaN
2018,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5) [17.18.1],NaN
2019,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5) [17.18.1],NaN
2020,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5) [17.18.1],NaN
2021,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5) [17.18.1],NaN
2022,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5) [17.18.1],NaN
