Year,SDG Series,Value
2015,"[PROXY] Progress toward productive and sustainable agriculture, current status score [2.4.1]",NaN
2016,"[PROXY] Progress toward productive and sustainable agriculture, current status score [2.4.1]",NaN
2017,"[PROXY] Progress toward productive and sustainable agriculture, current status score [2.4.1]",NaN
2018,"[PROXY] Progress toward productive and sustainable agriculture, current status score [2.4.1]",NaN
2019,"[PROXY] Progress toward productive and sustainable agriculture, current status score [2.4.1]",NaN
2020,"[PROXY] Progress toward productive and sustainable agriculture, current status score [2.4.1]",NaN
2021,"[PROXY] Progress toward productive and sustainable agriculture, current status score [2.4.1]",NaN
2015,"[PROXY] Progress toward productive and sustainable agriculture, trend score [2.4.1]",NaN
2016,"[PROXY] Progress toward productive and sustainable agriculture, trend score [2.4.1]",NaN
2017,"[PROXY] Progress toward productive and sustainable agriculture, trend score [2.4.1]",NaN
2018,"[PROXY] Progress toward productive and sustainable agriculture, trend score [2.4.1]",NaN
2019,"[PROXY] Progress toward productive and sustainable agriculture, trend score [2.4.1]",NaN
2020,"[PROXY] Progress toward productive and sustainable agriculture, trend score [2.4.1]",NaN
2021,"[PROXY] Progress toward productive and sustainable agriculture, trend score [2.4.1]",NaN
